Index,DT,A1
963,19/11/22,53.63
964,20/11/22,57.87
965,21/11/22,14.88
966,22/11/22,36.37
967,23/11/22,18
968,24/11/22,51.38
969,25/11/22,43.24
970,26/11/22,52
971,27/11/22,55.38
972,28/11/22,36.75
973,29/11/22,19.12
974,30/11/22,41.12
975,01/12/22,29.38
976,02/12/22,38
977,03/12/22,48.25
978,04/12/22,45.88
979,05/12/22,34.38
980,06/12/22,43.25
981,07/12/22,7.87
982,08/12/22,29.5
983,09/12/22,35.63
984,10/12/22,56.5
985,11/12/22,44
986,12/12/22,43.76
987,13/12/22,33.5
988,14/12/22,46.75
989,15/12/22,45.5
990,16/12/22,14.25
991,17/12/22,46.62
992,18/12/22,46.39
993,19/12/22,54.25
994,20/12/22,13.99
995,21/12/22,57.51
996,22/12/22,57.39
997,23/12/22,50.25
998,24/12/22,40.88
999,25/12/22,58.76
1000,26/12/22,47.99
1001,27/12/22,39.88
1002,28/12/22,36.5
1003,29/12/22,44.88
1004,30/12/22,50.25
1005,31/12/22,27.13
1006,01/01/23,44.88
1007,02/01/23,49.75
1008,03/01/23,43.25
1009,04/01/23,6.62
1010,05/01/23,6.5
1011,06/01/23,35.88
1012,07/01/23,46.38
1013,08/01/23,47.74
1014,09/01/23,46.49
1015,10/01/23,50.01
1016,11/01/23,48.01
1017,12/01/23,56
1018,13/01/23,39
1019,14/01/23,49.87
1020,15/01/23,31
1021,16/01/23,46
1022,17/01/23,50.38
1023,18/01/23,48.12
1024,19/01/23,41.75
1025,20/01/23,36.5
1026,21/01/23,44.26
1027,22/01/23,42.75
1028,23/01/23,53.88
1029,24/01/23,56.37
1030,25/01/23,53.62
1031,26/01/23,72.12
1032,27/01/23,55.38
1033,28/01/23,41.63
1034,29/01/23,52.13
1035,30/01/23,50.13
1036,31/01/23,49.12
1037,01/02/23,46
1038,02/02/23,40.25
1039,03/02/23,39.87
1040,04/02/23,46.76
1041,05/02/23,53.12
1042,06/02/23,53.13
1043,07/02/23,58.5
1044,08/02/23,51.63
1045,09/02/23,52.51
1046,10/02/23,38.13
1047,11/02/23,56.37
1048,12/02/23,51.75
1049,13/02/23,60.63
1050,14/02/23,55.5
1051,15/02/23,57.38
1052,16/02/23,49.37
1053,17/02/23,48.12
1054,18/02/23,58.62
1055,19/02/23,54.88
1056,20/02/23,51.75
1057,21/02/23,34.5
1058,22/02/23,47.25
1059,23/02/23,47
1060,24/02/23,41.25
1061,25/02/23,61.87
1062,26/02/23,58.51
1063,27/02/23,58.26
1064,28/02/23,55.37
1065,01/03/23,51.37
1066,02/03/23,59.12
1067,03/03/23,45
1068,04/03/23,44.88
1069,05/03/23,49.75
1070,06/03/23,51.99
1071,07/03/23,47.88
1072,08/03/23,40.26
1073,09/03/23,42.75
1074,10/03/23,53.13
1075,11/03/23,52.62
1076,12/03/23,50.5
1077,13/03/23,47
1078,14/03/23,50.74
1079,15/03/23,59.25
1080,16/03/23,59.25
1081,17/03/23,35.75
1082,18/03/23,60.89
1083,19/03/23,49.13
1084,20/03/23,57.25
1085,21/03/23,44.88
1086,22/03/23,43.13
1087,23/03/23,38.62
1088,24/03/23,28.01
1089,25/03/23,51.12
1090,26/03/23,47.88
1091,27/03/23,52.51
1092,28/03/23,51.12
1093,29/03/23,58.88
1094,30/03/23,60.63
1095,31/03/23,57.11
1096,01/04/23,31.01
1097,02/04/23,58
1098,03/04/23,57.25
1099,04/04/23,51.62
1100,05/04/23,23.88
1101,06/04/23,6.75
1102,07/04/23,6.87
1103,08/04/23,4.62
1104,09/04/23,5.63
1105,10/04/23,4.87
1106,11/04/23,5.74
1107,12/04/23,5.99
1108,13/04/23,5.37
1109,14/04/23,40.38
1110,15/04/23,31.62
1111,16/04/23,35.63
1112,17/04/23,34.62
1113,18/04/23,38.75
1114,19/04/23,39.88
1115,20/04/23,49.01
1116,21/04/23,55.01
1117,22/04/23,45.75
1118,23/04/23,49.99
1119,24/04/23,40
1120,25/04/23,47.99
1121,26/04/23,50.5
1122,27/04/23,40.13
1123,28/04/23,52.12
1124,29/04/23,48.75
1125,30/04/23,50.12
1126,01/05/23,38.37
1127,02/05/23,38.25
1128,03/05/23,42.75
1129,04/05/23,18.13
1130,05/05/23,21.18
1131,06/05/23,3.89
1132,07/05/23,2.87
1133,08/05/23,3.26
1134,09/05/23,8.13
1135,10/05/23,5.88
1136,11/05/23,3.13
1137,12/05/23,4.89
1138,13/05/23,5.87
1139,14/05/23,8
1140,15/05/23,4.75
1141,16/05/23,4.13
1142,17/05/23,2
1143,18/05/23,2.13
1144,19/05/23,3.62
1145,20/05/23,3
1146,21/05/23,3.13
1147,22/05/23,2.5
1148,23/05/23,3.64
1149,24/05/23,4.75
1150,25/05/23,3.51
1151,26/05/23,4.99
1152,27/05/23,7.38
1153,28/05/23,2.25
1154,29/05/23,36
1155,30/05/23,45.87
1156,31/05/23,45.88
1157,01/06/23,35.25
1158,02/06/23,50
1159,03/06/23,37.99
1160,04/06/23,35.5
